"UPLOAD_H_SEQ","UPLOAD_SEQ","FILE_NM","FILE_TYPE","UPLOAD_DT","ROW_COUNT","COL_COUNT"
1,1,Server.xlsx,SERVER,2026-04-23 00:10:37.395,15,16
2,2,Client.xlsx,CLIENT,2026-04-23 00:20:18.815,15,22
3,3,Mobile.xlsx,MOBILE,2026-04-23 00:20:36.016,10,12
4,4,Raw_Data.xlsx,RAW_DATA,2026-04-23 00:20:46.508,10,0
