"UPLOAD_SEQ","FILE_NM","FILE_TYPE","UPLOAD_DT","ROW_COUNT","COL_COUNT"
1,Server.xlsx,SERVER,2026-04-23 00:10:36.052,15,16
2,Client.xlsx,CLIENT,2026-04-23 00:20:17.717,15,22
3,Mobile.xlsx,MOBILE,2026-04-23 00:20:35.607,10,12
4,Raw_Data.xlsx,RAW_DATA,2026-04-23 00:20:46.462,10,0
