"UPLOAD_SEQ","FILE_NM","FILE_TYPE","UPLOAD_DT","ROW_COUNT","COL_COUNT"
43,Server.xlsx,SERVER,2026-04-23 22:51:30.460,15,16
44,Client.xlsx,CLIENT,2026-04-23 22:51:48.437,15,22
45,Mobile.xlsx,MOBILE,2026-04-23 22:52:48.853,10,12
