"UPLOAD_H_SEQ","UPLOAD_SEQ","FILE_NM","FILE_TYPE","UPLOAD_DT","ROW_COUNT","COL_COUNT"
1,43,Server.xlsx,SERVER,2026-04-23 22:51:31.455,15,16
2,44,Client.xlsx,CLIENT,2026-04-23 22:51:48.983,15,22
3,45,Mobile.xlsx,MOBILE,2026-04-23 22:52:49.052,10,12
