"UPLOAD_H_SEQ","UPLOAD_SEQ","FILE_NM","FILE_TYPE","UPLOAD_DT","ROW_COUNT","COL_COUNT"
1,1,Server.xlsx,SERVER,2026-04-25 07:02:27.456,15,16
2,2,Client.xlsx,CLIENT,2026-04-25 07:04:40.992,15,22
3,3,Mobile.xlsx,MOBILE,2026-04-25 07:05:42.780,10,12
4,4,Raw_Data.xlsx,RAW_DATA,2026-04-25 07:06:37.519,10,20
5,5,Raw_Data.xlsx,RAW_DATA,2026-04-25 07:08:20.168,10,20
