"SPEC_COL_H_SEQ","SPEC_COL_SEQ","UPLOAD_SEQ","COL_IDX","COL_NM","SORT_ORDER"
1,53,43,1,DIMM,0
2,54,43,2,Product (Ver.),1
3,55,43,3,Ver.,2
4,56,43,4,Density,3
5,57,43,5,Org,4
6,58,43,6,Speed,5
7,59,44,1,DIMM,0
8,60,44,2,Product (Ver.),1
9,61,44,3,Ver.,2
10,62,44,4,Density,3
11,63,44,5,Org,4
12,64,44,6,Speed,5
13,65,45,1,PKG,0
14,66,45,2,Density,1
15,67,45,3,Product,2
16,68,45,4,P/N,3
17,69,45,5,"Code Name
(Ver.)",4
