"CELL_H_SEQ","CELL_SEQ","UPLOAD_SEQ","ROW_IDX","COL_TYPE","COL_SEQ","CELL_VALUE","BG_COLOR"
1284,1284,5,8,RAWDATA,24,Snapdragon 8 Elite+,
1285,1285,5,8,RAWDATA,25,K3KL5L50FM-BGCR,
1286,1286,5,8,RAWDATA,26,"1bnm",
1287,1287,5,8,RAWDATA,27,UFS 4.1,
1288,1288,5,8,RAWDATA,28,"16GB",
1289,1289,5,8,RAWDATA,29,TLC,
1290,1290,5,8,RAWDATA,30,LP8X 496b,
1291,1291,5,8,RAWDATA,31,"25/04/10",
1292,1292,5,8,RAWDATA,32,KR,
1293,1293,5,8,RAWDATA,33,Pass,
1294,1294,5,8,RAWDATA,34,,
1295,1295,5,8,RAWDATA,35,"25/04/18",
1296,1296,5,8,RAWDATA,36,JH,
1297,1297,5,8,RAWDATA,37,Pass,
1298,1298,5,8,RAWDATA,38,,
1299,1299,5,8,RAWDATA,39,,
1300,1300,5,8,RAWDATA,40,,
1301,1301,5,9,RAWDATA,21,Qualcomm,
1302,1302,5,9,RAWDATA,22,Premium,
1303,1303,5,9,RAWDATA,23,SM8845,
1304,1304,5,9,RAWDATA,24,Snapdragon 8s Gen4,
1305,1305,5,9,RAWDATA,25,K3KLELE0FB-BGCR,
1306,1306,5,9,RAWDATA,26,"1anm",
1307,1307,5,9,RAWDATA,27,UFS 4.1,
1308,1308,5,9,RAWDATA,28,"24GB",
1309,1309,5,9,RAWDATA,29,TLC,
1310,1310,5,9,RAWDATA,30,LP8X 496b,
1311,1311,5,9,RAWDATA,31,"25/04/15",
1312,1312,5,9,RAWDATA,32,JH,
1313,1313,5,9,RAWDATA,33,In Progress,
1314,1314,5,9,RAWDATA,34,,
1315,1315,5,9,RAWDATA,35,,
1316,1316,5,9,RAWDATA,36,,
1317,1317,5,9,RAWDATA,37,,
1318,1318,5,9,RAWDATA,38,,
1319,1319,5,9,RAWDATA,39,,
1320,1320,5,9,RAWDATA,40,,
