"SPEC_COL_SEQ","UPLOAD_SEQ","COL_IDX","COL_NM","SORT_ORDER"
53,43,1,DIMM,0
54,43,2,Product (Ver.),1
55,43,3,Ver.,2
56,43,4,Density,3
57,43,5,Org,4
58,43,6,Speed,5
59,44,1,DIMM,0
60,44,2,Product (Ver.),1
61,44,3,Ver.,2
62,44,4,Density,3
63,44,5,Org,4
64,44,6,Speed,5
65,45,1,PKG,0
66,45,2,Density,1
67,45,3,Product,2
68,45,4,P/N,3
69,45,5,"Code Name
(Ver.)",4
