"CELL_SEQ","ROW_SEQ","COL_SEQ","UPLOAD_SEQ","CELL_VALUE","BG_COLOR"
178,54,94,43,"11 '23",#00B050
179,54,95,43,,#E8E8E8
180,54,96,43,,#E8E8E8
181,54,97,43,,#E8E8E8
182,54,98,43,,#E8E8E8
183,54,99,43,,#E8E8E8
184,54,100,43,,#E8E8E8
185,54,101,43,,#E8E8E8
186,54,102,43,,#E8E8E8
187,54,103,43,,#E8E8E8
188,54,104,43,,#E8E8E8
189,54,105,43,,#E8E8E8
190,54,106,43,,#E8E8E8
191,54,107,43,,#E8E8E8
192,54,108,43,,#E8E8E8
193,55,93,43,,#E8E8E8
194,55,94,43,"03 '24",#0070C0
195,55,95,43,"05 '25",#FF6600
196,55,96,43,"05 '25",#FF6600
197,55,97,43,,#E8E8E8
198,55,98,43,,#E8E8E8
199,55,99,43,,#E8E8E8
200,55,100,43,,#E8E8E8
201,55,101,43,,#E8E8E8
202,55,102,43,,#E8E8E8
203,55,103,43,,#E8E8E8
204,55,104,43,,#E8E8E8
205,55,105,43,,#E8E8E8
206,55,106,43,,#E8E8E8
207,55,107,43,,#E8E8E8
208,55,108,43,,#E8E8E8
209,56,93,43,,#E8E8E8
210,56,94,43,,#E8E8E8
211,56,95,43,,#E8E8E8
212,56,96,43,,#E8E8E8
213,56,97,43,,#E8E8E8
214,56,98,43,,#E8E8E8
215,56,99,43,,#E8E8E8
216,56,100,43,"07 '26",#7030A0
217,56,101,43,"08 '26",#7030A0
218,56,102,43,,#E8E8E8
219,56,103,43,,#E8E8E8
220,56,104,43,,#E8E8E8
221,56,105,43,,#E8E8E8
222,56,106,43,,#E8E8E8
223,56,107,43,,#E8E8E8
224,56,108,43,"07 '26",#7030A0
225,57,93,43,,#E8E8E8
226,57,94,43,,#E8E8E8
227,57,95,43,,#E8E8E8
228,57,96,43,,#E8E8E8
229,57,97,43,,#E8E8E8
230,57,98,43,,#E8E8E8
231,57,99,43,,#E8E8E8
232,57,100,43,,#E8E8E8
233,57,101,43,,#E8E8E8
234,57,102,43,"10 '27",#FF0000
235,57,103,43,"11 '27",#FF0000
236,57,104,43,,#E8E8E8
237,57,105,43,,#E8E8E8
238,57,106,43,,#E8E8E8
239,57,107,43,,#E8E8E8
240,57,108,43,,#E8E8E8
241,58,109,44,"10 '23",#00B050
242,58,110,44,"12 '23",#00B050
243,58,111,44,,#0A0A14
244,58,112,44,,#0A0A14
245,58,113,44,,#0A0A14
246,58,114,44,,#0A0A14
247,58,115,44,,#0A0A14
248,58,116,44,"11 '23",#00B050
249,58,117,44,"01 '24",#0070C0
250,58,118,44,,#0A0A14
251,58,119,44,,#0A0A14
252,58,120,44,,#0A0A14
253,58,121,44,"03 '24",#0070C0
254,58,122,44,,#0A0A14
255,58,123,44,,#0A0A14
256,58,124,44,,#0A0A14
257,58,125,44,,#0A0A14
258,58,126,44,,#0A0A14
259,58,127,44,,#0A0A14
260,58,128,44,,#0A0A14
261,58,129,44,,#0A0A14
262,58,130,44,,#0A0A14
263,59,109,44,"10 '23",#00B050
264,59,110,44,"12 '23",#00B050
265,59,111,44,,#0A0A14
266,59,112,44,,#0A0A14
267,59,113,44,,#0A0A14
268,59,114,44,,#0A0A14
269,59,115,44,,#0A0A14
270,59,116,44,"11 '23",#00B050
271,59,117,44,"01 '24",#0070C0
272,59,118,44,,#0A0A14
273,59,119,44,,#0A0A14
274,59,120,44,,#0A0A14
