"UPLOAD_SEQ","FILE_NM","FILE_TYPE","UPLOAD_DT","ROW_COUNT","COL_COUNT"
1,Server.xlsx,SERVER,2026-04-25 07:02:26.427,15,16
2,Client.xlsx,CLIENT,2026-04-25 07:04:40.247,15,22
3,Mobile.xlsx,MOBILE,2026-04-25 07:05:42.530,10,12
5,Raw_Data.xlsx,RAW_DATA,2026-04-25 07:08:19.817,10,20
