"SPEC_COL_H_SEQ","COL_SEQ","UPLOAD_SEQ","COL_IDX","COL_NM","SORT_ORDER"
1,1,1,1,DIMM,0
2,2,1,2,Product (Ver.),1
3,3,1,3,Ver.,2
4,4,1,4,Density,3
5,5,1,5,Org,4
6,6,1,6,Speed,5
7,7,2,1,DIMM,0
8,8,2,2,Product (Ver.),1
9,9,2,3,Ver.,2
10,10,2,4,Density,3
11,11,2,5,Org,4
12,12,2,6,Speed,5
13,13,3,1,PKG,0
14,14,3,2,Density,1
15,15,3,3,Product,2
16,16,3,4,P/N,3
17,17,3,5,"Code Name
(Ver.)",4
